City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Ati,TD,2022-02-02 01:02:14,13.2154,18.3353,59.99,16,0,9.26
116,Bronkhorstspruit,ZA,2022-02-02 01:04:22,-25.8102,28.7425,63.27,55,79,3.98
117,Marsa Matruh,EG,2022-02-02 01:04:23,31.3525,27.2453,54.28,57,98,15.48
118,Kangaatsiaq,GL,2022-02-02 01:04:23,68.3065,-53.4641,8.01,80,100,9.42
119,Taua,BR,2022-02-02 01:04:24,-5.9667,-40.3,75.81,50,49,6.22
120,Mayo,US,2022-02-02 01:04:24,38.8876,-76.5119,36.09,81,0,0.0
121,Hobyo,SO,2022-02-02 00:54:46,5.3505,48.5268,77.18,81,100,17.02
122,Thompson,CA,2022-02-02 01:00:10,55.7435,-97.8558,-17.48,86,82,10.31
123,Molchanovo,RU,2022-02-02 01:04:25,57.5817,83.7692,14.5,97,91,5.17
124,Thiruvananthapuram,IN,2022-02-02 01:04:25,8.4833,76.9167,76.98,94,20,2.3
125,Punta Arenas,CL,2022-02-02 00:59:42,-53.15,-70.9167,48.31,61,40,13.8
126,Cumanayagua,CU,2022-02-02 01:04:26,22.1494,-80.2022,68.41,81,73,10.29
127,Iskateley,RU,2022-02-02 01:04:26,67.6803,53.1512,-1.44,97,100,6.15
128,Saskylakh,RU,2022-02-02 00:55:52,71.9167,114.0833,-28.21,100,35,1.74
129,Batemans Bay,AU,2022-02-02 01:04:27,-35.7167,150.1833,71.2,89,100,4.47
130,Coswig,DE,2022-02-02 01:04:27,51.1333,13.5833,42.31,84,75,14.97
131,Aban,RU,2022-02-02 01:04:28,56.67,96.06,-12.98,100,88,2.51
132,Inhambane,MZ,2022-02-02 01:04:28,-23.865,35.3833,75.04,82,28,3.91
133,Saint George,US,2022-02-02 01:04:29,37.1041,-113.5841,46.94,24,0,3.0
134,Talnakh,RU,2022-02-02 00:55:52,69.4865,88.3972,2.21,95,100,8.01
