City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Noyemberyan,AM,41.1724,44.9992,33.19,52,100,6.6,overcast clouds
113,Coahuayana,MX,18.7333,-103.6833,83.68,77,0,2.95,clear sky
114,Avera,US,33.194,-82.5271,44.71,58,19,3.87,few clouds
115,Hokitika,NZ,-42.7167,170.9667,67.01,98,100,1.9,overcast clouds
116,New Norfolk,AU,-42.7826,147.0587,77.92,27,92,1.99,overcast clouds
117,Sibolga,ID,1.7427,98.7792,75.85,89,100,3.71,overcast clouds
118,Mecca,SA,21.4267,39.8261,69.76,84,1,0.58,clear sky
119,Umm Kaddadah,SD,13.6017,26.6876,60.28,21,5,12.24,clear sky
120,Khandyga,RU,62.6667,135.6,-12.75,94,100,2.33,overcast clouds
121,Lethem,GY,3.3803,-59.7968,83.21,54,100,7.27,overcast clouds
122,East London,ZA,-33.0153,27.9116,72.95,91,23,13.51,few clouds
123,Ribeira Grande,PT,38.5167,-28.7,60.12,71,28,5.95,scattered clouds
124,Ambilobe,MG,-13.2,49.05,73.54,94,100,3.74,overcast clouds
125,Banes,CU,20.9625,-75.7186,77.61,85,11,5.61,few clouds
126,Bethel,US,41.3712,-73.414,34.81,71,2,1.99,clear sky
127,Dudinka,RU,69.4058,86.1778,-0.38,89,100,21.25,overcast clouds
128,Koumac,NC,-20.5667,164.2833,83.34,81,100,20.87,overcast clouds
129,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,0,8.05,clear sky
130,Llanes,ES,43.4198,-4.7549,51.89,65,8,4.12,clear sky
131,Iracoubo,GF,5.4802,-53.2011,76.59,83,18,4.97,few clouds
132,Pevek,RU,69.7008,170.3133,-29.83,100,91,3.98,overcast clouds
133,Grindavik,IS,63.8424,-22.4338,30.67,93,75,26.46,light snow
134,Hualmay,PE,-11.0964,-77.6139,70.38,80,66,6.8,broken clouds
135,Nioro,GM,13.35,-15.75,77.2,12,0,5.48,clear sky
136,Upernavik,GL,72.7868,-56.1549,-16.6,90,90,6.85,overcast clouds
137,Forest Grove,US,45.5198,-123.1107,53.1,78,20,4.0,few clouds
138,Muros,ES,42.7762,-9.0603,55.24,58,0,5.73,clear sky
139,Senanga,ZM,-16.1167,23.2667,68.22,90,100,5.01,overcast clouds
140,Eyl,SO,7.9803,49.8164,71.2,75,9,13.87,clear sky
141,Colgong,IN,25.2667,87.2167,55.65,72,0,0.63,clear sky
142,Namibe,AO,-15.1961,12.1522,72.43,83,100,10.58,overcast clouds
143,Ilulissat,GL,69.2167,-51.1,-5.78,59,97,19.57,overcast clouds
144,Vrangel,RU,42.7297,133.0839,25.88,55,6,4.63,clear sky
145,Airai,TL,-8.9266,125.4092,68.49,82,100,1.32,overcast clouds
146,Santa Cruz,BO,-17.8,-63.1667,80.06,61,40,3.44,scattered clouds
147,Fortuna,US,40.5982,-124.1573,61.09,78,0,12.66,clear sky
148,Eirunepe,BR,-6.6603,-69.8736,72.5,99,93,1.95,overcast clouds
149,Contamana,PE,-7.3333,-75.0167,72.81,96,84,0.56,broken clouds
150,Soyo,AO,-6.1349,12.3689,76.87,85,70,7.74,broken clouds
151,Saldanha,ZA,-33.0117,17.9442,62.65,93,98,5.91,overcast clouds
152,Saint George,US,37.1041,-113.5841,68.47,12,0,6.91,clear sky
153,Basco,PH,20.4487,121.9702,74.41,83,100,21.47,overcast clouds
154,Yining,CN,29.0361,114.5636,36.82,97,100,1.19,light rain
155,Orlik,RU,52.5178,99.825,-7.92,99,100,1.63,overcast clouds
156,Chokurdakh,RU,70.6333,147.9167,-42.99,100,99,5.64,overcast clouds
157,Malakal,SS,9.5334,31.6605,75.4,22,10,5.59,clear sky
158,Klaksvik,FO,62.2266,-6.589,36.52,70,84,40.42,broken clouds
159,The Valley,AI,18.217,-63.0578,77.09,65,30,19.13,scattered clouds
160,Komsomolskiy,UZ,40.4272,71.7189,36.75,87,40,11.5,scattered clouds
161,Abu Samrah,SY,35.3029,37.1841,48.34,76,100,4.74,overcast clouds
162,Norman Wells,CA,65.282,-126.8329,-23.76,57,75,0.0,broken clouds
163,Talnakh,RU,69.4865,88.3972,-0.8,96,100,11.92,overcast clouds
164,Victoria,HK,22.2855,114.1577,62.26,81,100,7.0,overcast clouds
165,Zhangjiakou,CN,40.81,114.8794,24.08,33,100,0.85,light snow
166,Shimoda,JP,34.6667,138.95,44.96,59,100,16.78,overcast clouds
167,Lagoa,PT,39.05,-27.9833,59.18,73,99,13.49,overcast clouds
168,Esperance,AU,-33.8667,121.9,71.44,59,35,4.12,scattered clouds
169,Mitu,CO,1.1983,-70.1733,71.49,98,100,1.74,overcast clouds
170,Matamoros,MX,25.5333,-103.25,60.91,23,0,4.61,clear sky
171,Camacha,PT,33.0833,-16.3333,65.53,68,20,12.66,few clouds
172,Werda,BW,-25.2667,23.2833,77.29,48,98,4.76,light rain
173,Inta,RU,66.0317,60.1659,-6.16,92,25,3.24,scattered clouds
174,Mundo Nuevo,MX,18.7,-95.5,65.41,76,100,17.67,overcast clouds
175,Yuanping,CN,38.7153,112.7575,28.26,40,1,1.66,clear sky
176,Lufilufi,WS,-13.8745,-171.5986,80.38,87,100,19.64,moderate rain
177,Clyde River,CA,70.4692,-68.5914,-28.97,68,75,6.91,snow
178,San Quintin,MX,30.4833,-115.95,64.0,38,10,6.49,clear sky
179,Lanxi,CN,29.2195,119.477,40.91,93,100,2.21,overcast clouds
180,Balkanabat,TM,39.5108,54.3671,43.7,48,45,10.67,scattered clouds
181,Kaduqli,SD,11.0167,29.7167,69.35,22,20,7.23,few clouds
