City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Pyaozerskiy,RU,18.14,overcast clouds,65.8333,31.1667,Taratuga
561,Leua,SK,44.44,overcast clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
563,Helena,US,44.42,overcast clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
566,Sabzevar,IR,37.89,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
567,Vestmanna,FO,34.72,light snow,62.1564,-7.1664,Vestmanna Camping
574,Velsk,RU,22.69,overcast clouds,61.0701,42.0983,Zhemchuzhina Severa
576,Fort Morgan,US,42.22,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
578,Fengzhen,CN,20.1,broken clouds,40.4394,113.1536,Feng Zhen Hotel
580,Flin Flon,CA,15.64,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
581,Dalbandin,PK,49.32,clear sky,28.8947,64.4101,Gidaan Guest House
582,Makat,KZ,25.32,broken clouds,47.6469,53.3463,Umit
583,Tateyama,JP,47.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
584,Baykalovo,RU,3.94,overcast clouds,57.3981,63.7684,Gostinitsa Karavan
588,Severobaykalsk,RU,3.2,overcast clouds,55.65,109.3167,Hostel03RUS
589,Shevchenkove,UA,31.78,light snow,49.6959,37.1735,Hotelʹ Komunalʹnoho Pidpryyemstva Akva
592,Umba,RU,16.86,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
605,Zhoucheng,CN,41.02,overcast clouds,35.9122,116.3117,Yingbin Restaurant
607,Marivan,IR,26.19,overcast clouds,35.5219,46.176,Teacher's House
608,Dingtao,CN,37.18,overcast clouds,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
609,De-Kastri,RU,11.62,overcast clouds,51.4667,140.7833,Somon Hotel
614,Havre-Saint-Pierre,CA,25.39,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
616,Danville,US,40.57,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
621,Zyryanovsk,KZ,2.05,overcast clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
623,Shihezi,CN,3.42,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
625,Williams Lake,CA,36.97,moderate rain,52.1415,-122.1445,Stampeder Motel
629,Floro,NO,39.24,broken clouds,61.5996,5.0328,Kinn Hotell Florø
635,Senneterre,CA,19.62,overcast clouds,48.3835,-77.2328,Motel Senabi
637,Husavik,IS,28.31,snow,66.0449,-17.3389,Bjarnabúð
641,Yaransk,RU,21.87,light snow,57.3033,47.8861,Центральная Гостиница
643,Yuncheng,CN,33.4,overcast clouds,35.0231,110.9928,晋州快捷酒店
647,Brekstad,NO,38.01,light rain,63.687,9.6654,Orland Kysthotell
650,Zhongshu,CN,44.73,overcast clouds,24.5167,103.7667,Xintianlong Hotel
651,Kathmandu,NP,43.02,mist,27.7167,85.3167,Hotel Shanker Kathmandu
655,Mehamn,NO,20.1,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
656,Muyezerskiy,RU,22.59,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
657,Jawa,JO,44.91,clear sky,31.8525,35.9393,المجد للشقق الفندقية
659,Brantford,CA,25.23,few clouds,43.1334,-80.2664,Comfort Inn
664,Kemijarvi,FI,19.8,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
667,Ucluelet,CA,46.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
669,Whitehorse,CA,36.37,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
670,Palmer,US,34.97,scattered clouds,42.1584,-72.3287,Wedgewood Motel
674,Kumburgaz,TR,42.57,overcast clouds,41.0211,28.4772,Blue World Hotel
678,Kavarna,BG,33.08,clear sky,43.4333,28.3333,Вила Алегра (Villa Allegra)
680,Atbasar,KZ,6.85,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
681,Olafsvik,IS,30.65,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
684,Atikokan,CA,32.79,light snow,48.7555,-91.6216,Quetico Inn (formerly Radisson)
687,Karpogory,RU,17.69,overcast clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
688,Laurel,US,39.25,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
